Feature,Value,Contribution
292,0.096012178,1.20E-05
281,0.092709478,-3.70E-05
232,0.07867195,0.000167251
284,0.063712831,-0.000146196
289,0.037138381,-2.16E-05
376,0.030663797,6.50E-05
320,0.026117588,-0.00013521
78,0.025688509,-0.000173855
352,0.024329762,2.36E-05
26,0.02358257,0.000182759
244,0.022802232,8.28E-06
229,0.022472774,-3.29E-05
250,0.018672955,0.001242729
252,0.018008331,-3.30E-05
110,0.017790761,-3.70E-05
41,0.016975936,-6.84E-05
0,0.015837951,0.000514055
243,0.015148002,-9.63E-06
245,0.01470667,0.004031281
33,0.014001109,5.24E-05
233,0.012416456,0.000261252
228,0.012365437,0.000127504
248,0.011754737,-1.76E-05
268,0.010495943,-4.33E-05
209,0.010331388,0.001153346
103,0.009799124,-0.002945426
79,0.009062755,8.06E-06
307,0.008428326,-0.000498162
60,0.008100589,0.000191185
82,0.007775171,4.89E-06
251,0.00753778,0.000110371
269,0.007302655,5.31E-05
56,0.00709562,0.000890006
187,0.006277864,0.000141014
190,0.006147095,0.000166932
288,0.006059604,0.001120862
109,0.005994842,-5.50E-05
267,0.005730821,9.90E-05
55,0.005466232,-3.12E-05
249,0.005256354,-0.002773607
247,0.005130102,-0.000137706
91,0.004239517,-0.0001593
231,0.004226284,4.22E-05
29,0.004007531,-0.000654154
77,0.003841256,-4.97E-06
112,0.003655411,4.19E-05
261,0.003511287,-0.000109854
295,0.003470018,0.002564713
235,0.003340048,8.09E-06
242,0.003280262,-0.000213329
274,0.003172885,0.000418999
61,0.003157468,-0.001177488
69,0.003056233,-0.000123885
273,0.003046055,6.45E-05
285,0.003035419,-0.000476917
66,0.003002167,0.000145257
254,0.002886697,-0.000484508
76,0.002624697,-3.00E-05
81,0.002613538,0.000116539
64,0.002426951,-7.36E-05
237,0.00235957,-0.000177535
93,0.002357035,0.000208403
270,0.002328408,0.000300775
257,0.002311398,3.57E-05
34,0.002265753,-0.002135641
99,0.002177872,-0.002249076
152,0.002142705,-0.001645573
343,0.002103375,8.11E-05
70,0.002097586,-0.000236612
196,0.002002186,-0.002040847
185,0.001989555,-0.000130093
192,0.001971135,-0.002087582
222,0.001831457,-0.001911528
31,0.00180324,-0.005624409
202,0.001769109,-7.38E-05
39,0.001650789,-6.90E-05
88,0.001585572,-1.55E-05
107,0.001533863,-0.000106128
353,0.001450677,-6.50E-05
58,0.001434183,-0.006537483
86,0.001404914,0.000432645
154,0.001379393,-0.000253118
276,0.001355925,0.000558582
355,0.001292759,-0.004818511
264,0.001259752,0.001095702
319,0.001204748,0.000136335
98,0.001154668,-0.001066428
65,0.001151278,0.002284027
135,0.001125163,0.000185645
