,WT2D,WT2D.1,WT2D.2,WT2D.3,WT2D.4,WT2D.5,WT2D.6,WT2D.7,WT2D.8,WT2D.9,WT2D.10,WT2D.11,WT2D.12,WT2D.13,WT2D.14,WT2D.15,WT2D.16,WT2D.17,WT2D.18,WT2D.19,WT2D.20,WT2D.21,WT2D.22,WT2D.23,WT2D.24,WT2D.25,WT2D.26,WT2D.27,WT2D.28,WT2D.29,WT2D.30,WT2D.31,WT2D.32,WT2D.33,WT2D.34,WT2D.35,WT2D.36,WT2D.37,WT2D.38,WT2D.39,WT2D.40,WT2D.41,WT2D.42,WT2D.43,WT2D.44,WT2D.45,WT2D.46,WT2D.47,WT2D.48,WT2D.49,WT2D.50,WT2D.51,WT2D.52,WT2D.53,WT2D.54,WT2D.55,WT2D.56,WT2D.57,WT2D.58,WT2D.59,WT2D.60,WT2D.61,WT2D.62,WT2D.63,WT2D.64,WT2D.65,WT2D.66,WT2D.67,WT2D.68,WT2D.69,WT2D.70,WT2D.71,WT2D.72,WT2D.73,WT2D.74,WT2D.75,WT2D.76,WT2D.77,WT2D.78,WT2D.79,WT2D.80,WT2D.81,WT2D.82,WT2D.83,WT2D.84,WT2D.85,WT2D.86,WT2D.87,WT2D.88,WT2D.89,WT2D.90,WT2D.91,WT2D.92,WT2D.93,WT2D.94,WT2D.95
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0,0,0.038382088,0.007853405,0.091186191,0.0017688,0.017296002,0,0,0.0031469,0.001747198,0.007914699,0.039187504,0,0,0.018294411,0,0.033017787,0,0.1320057,0,0,0,0,0.181369364,0.037141907,0,0,0.006254301,0,0.0032723,0,0,0,0.071110507,0,0.031252397,0.0199995,0.036252715,0,0,4.53E-05,0.006498703,0,0,0.09716069,0,0.010297398,0,0,0.0612696,0.0178923,0.007974398,0.005416202,0.006190499,0,7.30E-06,0,0.0105626,0,0,0,0.03350049,0.0032676,0.04887059,0.013545595,0,0.006581201,0.013410695,0.026389392,0.001137,4.37E-05,0,0.018745798,0.0006899,0,0.015403198,0,0,0,0.0267583,0.0007129,0.012152101,0.05036409,0.005399897,0,0,0.017624702,0,0.029602706,0.074432015,0.0002598,0.0278607,0.024678907,0.067243327,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,0,0,0.003309699,0,0,0,0,0,0,0.0003476,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99E-05,0.0024611,0,0,0,0,0,0.0006593,0,0,0,0,0,0,0,0,0,0,5.42E-05,0.0002594,0,0,0.004081,0,0,0,0,0.0005952,0,0,0.0006339,0.002701399,0,1.94E-05,0,0,0,0,0,0,0,0,0,0,0,0.002250899,0.0003184,0,3.06E-05,0,0,0,0,0,0,0,0,0.0009651,0.0001792,0,0,0,0,0,0,0,0,0,0,0,0,0.0007156,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae,0,0,0.003579799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010006501,0,0,0,0,0,0,0,0,0,0,0.003476,0,0,0,0,0,0,0,0.002256301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002319399,0.0007407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002541599,0,0,0.005554101,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified,0,0,7.87E-05,6.08E-05,0.0002806,0,0,0,0,0,0,0,6.24E-05,0,0,0,0,0,0,8.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25E-05,0,0,0,0,5.19E-05,0,0,0,0.0002596,0,0,0,0,0,0,0,0,0,0,0,0,2.99E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16E-05,0,0,0,0,0,0,0,0,0,8.62E-05,0,6.54E-05,0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18E-05,0,0,0,0,0,0,0,0,0,0,0.0001413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0,0,0,0,0,0,0,0,0,0,0,1.65E-05,0,4.33E-05,6.56E-05,2.71E-05,0.0001025,0,0,0.0001684,0,0,0,0,0,0,0,0,0,0.0004151,0,0,0,0,2.09E-05,3.12E-05,0,0,0,0,1.11E-05,0,0,0.0003093,4.77E-05,0,7.59E-05,8.81E-05,0,0,0,0,1.96E-05,0,0,0,0,0,0.0001227,0,0,0.000476,0,0,0,0,8.04E-05,0,4.11E-05,0,0,0,0,0,2.85E-05,0,0,0,0,0,0,0.0002549,0,0,0,0,0,0,0,0,0.0006781,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,0,0,0,0,0,0,0,8.20E-06,0.0001135,0,0,0.000544,0,4.53E-05,0,0,1.68E-05,0,0,0,0,0,0,0,0.000134,0,0,0.0003117,0,0.0002767,0,0.0001849,0.0002304,0,3.46E-05,0,0,0,6.75E-05,0,0,0,0,0.0001375,0.0002348,0,9.80E-06,0,0,7.61E-05,0.0002696,7.74E-05,1.28E-05,0,0,0,0,0,0.0002545,1.25E-05,0.0002105,8.53E-05,0.0001869,4.74E-05,0.0001964,0.0005287,8.08E-05,6.36E-05,0.0001046,0,0,0,0,3.93E-05,8.61E-05,0,0,0.0002367,0,0,0,0,0,0,0,0.0006259,0,0,0,0,0,0,0,0,0.0003085,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
