train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.59302326	0.5	0.68859649	0.56	0.67794336	0.70155598	0.0	0.0	5.0	0.0	5.0	0.14798188	2.0	0.0	1.0
0.55813953	0.5	0.35416667	0.08	0.6952364	0.71103143	0.0	0.0	5.0	0.0	5.0	0.16922092	2.0	1.0	1.0
0.55813953	0.5	0.68092105	0.52	0.68339765	0.69890824	0.0	0.0	5.0	0.0	5.0	0.19560313	2.0	2.0	1.0
0.54651163	0.6	0.3207856	0.5	0.70001639	0.70981931	0.0	0.0	4.0	0.0	6.0	0.21524024	2.0	3.0	1.0
0.59302326	0.6	0.67430442	0.58333333	0.67916775	0.65042444	0.10206207	1.0	3.0	1.0	5.0	0.2354455	2.0	4.0	1.0
0.54651163	0.6	0.65630115	0.75	0.68562783	0.67184139	0.0	0.0	4.0	0.0	6.0	0.26489615	2.0	5.0	1.0
0.57471264	0.55555556	0.69070513	0.6	0.67509409	0.68311976	0.0	0.0	4.0	0.0	5.0	0.29380012	2.0	6.0	1.0
0.55172414	0.55555556	0.35897436	0.2	0.69023372	0.69034676	0.0	0.0	4.0	0.0	5.0	0.31377697	2.0	7.0	1.0
0.55172414	0.55555556	0.28311966	0.7	0.68993733	0.68837269	0.0	0.0	4.0	0.0	5.0	0.33661604	2.0	8.0	1.0
0.63218391	0.55555556	0.67681624	0.45	0.65258058	0.87914965	0.05976143	1.0	3.0	1.0	4.0	0.36414576	2.0	9.0	1.0
