train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.7	1.0	0.8	0.17921586	0.61040845	0.5	2.0	3.0	0.0	5.0	1.55227017	2.0	0.0	1.0
1.0	0.7	1.0	0.76	0.17546542	0.63594025	0.5	2.0	3.0	0.0	5.0	4.81573725	2.0	1.0	1.0
1.0	0.8	1.0	0.88	0.18105306	0.55497439	0.65465367	3.0	2.0	0.0	5.0	9.5101645	2.0	2.0	1.0
1.0	0.8	1.0	1.0	0.18162616	0.52409583	0.66666667	4.0	0.0	2.0	4.0	12.04668999	2.0	3.0	1.0
1.0	0.6	1.0	0.75	0.1772746	0.64481072	0.16666667	2.0	2.0	2.0	4.0	14.57030201	2.0	4.0	1.0
1.0	0.9	1.0	1.0	0.18268961	0.50557012	0.80178373	3.0	1.0	0.0	6.0	17.02720404	2.0	5.0	1.0
1.0	0.66666667	1.0	0.85	0.18107536	0.56017925	0.31622777	2.0	2.0	1.0	4.0	19.98118329	2.0	6.0	1.0
1.0	0.88888889	1.0	1.0	0.18374791	0.46495429	0.8	4.0	0.0	1.0	4.0	21.87963581	2.0	7.0	1.0
1.0	0.33333333	1.0	0.3	0.17075534	0.83610761	-0.35	1.0	3.0	3.0	2.0	22.97524619	2.0	8.0	1.0
1.0	0.66666667	1.0	0.45	0.1721366	0.73496223	0.31622777	2.0	2.0	1.0	4.0	24.05952287	2.0	9.0	1.0
