train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.6	1.0	0.8	0.17852934	0.62810127	0.2	3.0	2.0	2.0	3.0	1.45038557	2.0	0.0	1.0
1.0	0.7	1.0	0.8	0.17908694	0.594494	0.40824829	3.0	2.0	1.0	4.0	2.50556087	2.0	1.0	1.0
1.0	0.8	1.0	0.96	0.18806012	0.52258878	0.65465367	3.0	2.0	0.0	5.0	3.5467546	2.0	2.0	1.0
1.0	0.9	1.0	1.0	0.18464151	0.53340159	0.80178373	3.0	1.0	0.0	6.0	4.57322383	2.0	3.0	1.0
1.0	0.7	1.0	0.64583333	0.17751757	0.68632063	0.40824829	3.0	1.0	2.0	4.0	5.57830429	2.0	4.0	1.0
1.0	0.7	1.0	0.83333333	0.18292728	0.56501294	0.40824829	3.0	1.0	2.0	4.0	6.76223469	2.0	5.0	1.0
1.0	0.88888889	1.0	0.85	0.18243195	0.54793018	0.8	4.0	0.0	1.0	4.0	7.87175202	2.0	6.0	1.0
1.0	1.0	1.0	1.0	0.18263917	0.51706434	1.0	4.0	0.0	0.0	5.0	9.02553654	2.0	7.0	1.0
1.0	0.44444444	1.0	0.35	0.17091412	0.77374147	-0.15811388	1.0	3.0	2.0	3.0	10.10840106	2.0	8.0	1.0
1.0	0.66666667	1.0	0.65	0.17593871	0.6348895	0.31622777	2.0	2.0	1.0	4.0	11.23544478	2.0	9.0	1.0
