train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.63953488	0.5	0.82894737	0.56	0.63322375	0.67536067	0.0	1.0	4.0	1.0	4.0	0.06585097	2.0	0.0	1.0
0.65116279	0.4	0.87554825	0.32	0.63306293	0.72511895	-0.33333333	0.0	5.0	1.0	4.0	0.09005237	2.0	1.0	1.0
0.63953488	0.4	0.86513158	0.28	0.58239135	0.83353483	-0.33333333	0.0	5.0	1.0	4.0	0.11130428	2.0	2.0	1.0
0.60465116	0.7	0.80196399	0.75	0.66303546	0.65719836	0.40824829	1.0	3.0	0.0	6.0	0.13421965	2.0	3.0	1.0
0.62790698	0.5	0.77741408	0.625	0.6383008	0.67473382	-0.27216553	0.0	4.0	1.0	5.0	0.15423203	2.0	4.0	1.0
0.54651163	0.6	0.22258592	0.41666667	0.69080554	0.67917757	0.0	0.0	4.0	0.0	6.0	0.19461751	2.0	5.0	1.0
0.55172414	0.44444444	0.1784188	0.1	0.71650844	0.76522287	-0.31622777	0.0	4.0	1.0	4.0	0.23492408	2.0	6.0	1.0
0.5862069	0.55555556	0.80876068	0.7	0.67531424	0.67918002	0.0	0.0	4.0	0.0	5.0	0.27117848	2.0	7.0	1.0
0.55172414	0.55555556	0.2275641	0.5	0.71616422	0.69401308	0.0	0.0	4.0	0.0	5.0	0.29494667	2.0	8.0	1.0
0.63218391	0.55555556	0.81143162	0.55	0.62446025	0.67980454	0.0	0.0	4.0	0.0	5.0	0.32152057	2.0	9.0	1.0
